typical month	name	caller1	caller2	caller3	caller4	caller5	caller6	band1	band2	band3	band4	band5	band6	roles	date	location	url
6	BACDS American Dance and Music Week	Gaye Fifer	Sarah Van Norstrand					Syncopaths	Uncle Farmer	Whoots					7/1/2018	La Honda CA	https://www.bacds.org/camps/amweek/
7	July Fourth at Pinewoods	Lisa Greenleaf						Unnamed							6/28/2018	Plymouth MA	https://cds-boston-j4weekend.weebly.com/
7	Ooh La La Dance Weekend	Mary Wesley	Adina Gordon	Steve Zakon-Anderson				Maivish	Stomp Rocket						6/8/2018	Richmond QC	http://oohlaladance.com/
7	Delafield IndepenDance Daze Weekend	Diane Silver	Katy Heine					Turnip the Beet	Strawberry Space Jam						6/29/2018	Delafield WI	http://www.delafieldcontra.com/Delafield_Contra_Weekend.html
7	Contradancers Delight Holiday (Summer)	Beth Molaro	Terry Doyle	Jolaine Jones-Pokorney				Great Bear	Wake up Robin	Toss the Possum	In-Tent City				6/29/2018	Grayson County VA	http://www.contradancersdelight.com/about-summer-cdh-tst/
7	Roanoke Railroader	Beth Molaro	Emily Rainbowface Abel					Great Bear	Toss the Possum	Rushfest					7/5/2018	Salem VA	http://www.roanokerailroader.com/
7	River Rendevous	Darlene Underwood	Bob Isaacs					Changling	Hotpoint						7/20/2018	Coshocton OH	http://www.riverrendezvous.com/
7	Ashokan Northern Week	David Kaynor	Susan Kevra	John Krumm				Great Bear	Genticorum						7/15/2018	Olivebridge NY	http://ashokan.org/northern-week-camp/
7	Hashdance	Will Mentor	Seth Tepfer					Barefoot	Ripples						7/13/2018	Glen Echo MD	https://www.facebook.com/events/145506949421692/
8	Falcon Ridge Folk Festival	Beth Molaro	George Marshall					Buddy System	Gaslight Tinkers	Great Bear					8/3/2018	Hillsdale NY	http://falconridgefolk.com/
8	Camp Damp	Frannie Marr						Cascade Crossing							8/3/2018	Juneau AK	http://www.juneaucontras.org/campdamp_nuevo_2018.html
8	Mentone Monster Mash	Cis Hinkle	Charlotte Crittenden					Onlies	Red Mountain Yellowhammers	Count Mickula and the Vampers	Jambiance				8/17/2018	Mentone AL	http://www.footmadbirmingham.org/mentone.html
8	Splash Dance Weekend	open calling						open band							8/24/2018	Hendersonville, NC	http://oldfarmersball.com/contra-dances/splash-dance-weekend/
8	Balance the Bay	Sue Rosen	Seth Tepfer					Hotpoint Stringband	Nova						8/10/2018	San Francisco	https://www.bacds.org/camps/btb/
8	Burning Man Contra Dance Camp	Andy Shore						Countercurrent							8/26/2018	Gerlach NV	http://www.contraburners.org/
9	Michigan Dance Heritage Fall Weekend	Scott Higgs	Cathy Stephens					Groovemongers							9/21/2018	Lexington MI	http://mdh-online.org/fall/
9	Dance Camp North	Lisa Greenleaf						Stringrays							9/1/2018	Fairbanks AK	http://contraborealis.org/dance-camp-north/
9	Labor Day Dance Away	Seth Tepfer	Terry Doyle					Toss the Possum	Curious George and the ABCs						8/31/2018	Julian CA	http://www.caldancecoop.org/cgi/lddadriver.cgi
9	Labor Day Dawndance	Will Mentor	Jean Gibson-Gorrido	Hannah Otten				Great Bear	Cloud Ten	Buddy System					9/2/2018	Brattleboro VT	http://www.dawndance.org/
9	Moondance Dance Weekend	Sarah Van Norstrand	Terry Doyle					Unnamed	Buddy System	Rushfest					9/7/2018	Pickens SC	https://moondancesc.weebly.com/
9	Footfall Dance Weekend	Ted Hodapp	Carol Ormond					Ripples	Organic Family Band						9/7/2018	High View WV	http://www.footfalldance.com/index.php
9	Feet Retreat	Gaye Fifer	Emily Rush					Mean Lids	Faux Paws						9/14/2018	Ellerbe NC	https://www.feetretreat.com/feet-retreat/
9	Bear Hug Dance Camp	Susan Michaels	Andrea Nettleton					Stringrays							9/7/2018	Rollins MT	https://www.missoulafolk.org/bear-hug-mountain-festival
9	Ozark Folk Center Dance Days	Chrissy Davis-Camp						Turnip the Beet							9/7/2018	Mountain View AR	http://www.arkansascountrydance.org/ozark.htm
9	Star Hampshire Traditional Music and Dance Weekend	David Millstone	Chrissy Fowler					Unnamed							9/14/2018	Portsmouth NH	http://starisland.org/program/starhampshire/
9	Squirrel Moon Contra Dance weekend	Susan Kevra						Supertrad							9/21/2018	Dodgeville WI	http://www.squirrelmoon.org/
9	Echo Summit	Lisa Greenleaf	Lindsey Dono					Latter Day Lizards	Toss the Possum						9/14/2018	Camp Sacremento	https://sactocds.wordpress.com/special-events/echo-summit-dance-camp-2018/
9	Chehalis Dance Weekend	Bev Bernbaum	Lindsey Dono					Peach Jam	Dam Beavers						9/21/2018	Chehalis BC	http://www.vcn.bc.ca/vcountry/chehalis/
9	Youth Dance Weekend	Dana Parkinson	Louise Siddons					Nova	Jig Lords					Larks / Ravens	9/14/2018	Weston VT	http://youthdanceweekend.org/
9	Adirondack Dance Weekend	Steve Zakon-Anderson	Frannie Marr					Party of Three	Eloise &co						9/21/2018	Silver Bay NY	http://www.danceflurry.org/events_adirondack.php
