typical month	name	caller1	caller2	caller3	caller4	caller5	caller6	band1	band2	band3	band4	band5	band6	roles	date	location	url	
5	Dancing Bear Dance Camp	Wendy Graham	Jacqui Grennan					Free Raisins	KGB						5/26/2023	Wasilla AK	http://www.thedancingbears.com/Dance-Camp.html	
5	Northwest Folklife														5/26/2023	Seattle WA	https://nwfolklife.org/festival/home.html	
6	Dancing Fish: June	Seth Tepfer						The Syncopaths							6/2/2023	Melrose FL	https://dancingfish.dance/	
6	Gender-Free Dance Camp (Spring)	Gaye Fifer						River Road	Starling					Larks / Robins	6/9/2023	Plymouth MA	https://www.lcfd.org/spring-camp-2023.html	
6	Flamingo Fling Weekend	Diane Silver						Stomp Rocket							6/9/2023	Oaklahoma City OK	http://scissortail.org/special-events/flamingo-fling/	
6	Swing into Summer	Will Mentor	Mae Wilson					Anadama	Melusine					Larks / Robins	6/16/2023	Plymouth MA	http://www.swingintosummer.org/	
6	Lady of the Lake June Week	David Millstone	Sarah VanNorstrand	Wendy Graham				The Figments	Campaign for Reel Time	Road Trip				Larks / Robins	6/18/2023	Harrison, ID	http://www.ladyofthelake.org/june-week/	
6	Old Songs Festival	Ben Sachs-Hamilton						Gaslight Tinkers	Cloud Ten	Corner House					6/23/2023	Voorheesville NY	http://festival.oldsongs.org/	
6	BACDS Family Week	Kelsey Hartman						Unnamed							6/25/2023	La Honda CA	https://www.bacds.org/familyweek/	
6	American Buffalo Contra Dance Weekend	Janine Smith	Adina Gordon					Gigmeisters	Unnamed	Critton Hollow Stringband					6/23/2023	Bloomery WV	https://www.buffalogapretreat.com/general-5-2	
6	Dance, Music & Spice at Cavell	River Abel						Uncle Farmer							6/17/2023	Lexington MI	https://camp.cdss.org/camp-weeks/dance-music-spice-at-cavell/	
6	Stegastomp	Bob Morgan	Rachel Shapiro-Wallace					Contrasaurus							6/30/2023	Harbury UK	https://www.contrasaurus.com/stegastomp.html	
7	Dancing Fish: July	Janet Shepard						Kingfisher							6/30/2023	Melrose FL	https://dancingfish.dance/	
7	July Fourth at Pinewoods	Lisa Greenleaf						Alchemy	Night Watch						6/29/2023	Plymouth MA	https://cds-boston-j4weekend.weebly.com/	
7	Contradancers Delight Holiday (Summer)	Bob Isaacs	Terry Doyle	Warren Doyle				Drive Train	Toss the Possum						7/28/2023	Mountain City, TN	http://www.contradancersdelight.com/about-summer-cdh-tst/	
7	Hashtag Dance Weekend	Will Mentor	Frannie Marr					Mean Lids	Stomp Rocket					Larks / Robins	7/1/2023	Glen Echo MD	https://fsgw.org/hashtag-dance-weekend	
7	Pinewoods English-Scottish-Contra	Mary Wesley						Black River Ironworks						Larks / Robins	7/3/2023	Plymouth MA	https://rscdsboston.org/pinewoods-esc.html	
7	Roanoke Railroader	Bob Isaacs	Emily Rush	Deanna Palumbo 				Toss the Possum	Bullet Train						7/6/2023	Salem VA	http://www.roanokerailroader.com/	
7	River Rendezvous	Gaye Fifer	Emily Rush					Hot Coffee Breakdown	Playing with Fyre	Rushfest					7/14/2023	Coshocton OH	http://www.riverrendezvous.com/	
7	Ashokan Northern Week	Susan Kevra	Will Mentor					Unnamed		 					7/16/2023	Olivebridge NY	https://ashokancenter.org/product/northern-week-2023/	
7	American Dance & Music Week at Pinewoods	Lisa Greenleaf	Will Mentor					The Syncopaths							7/22/2023	Plymouth MA	https://camp.cdss.org/camp-weeks/american-dance-music-week-2/	
7	Harmony of Song & Dance at Pinewoods	Ben Sachs-Hamilton	Lisa Greenleaf												7/29/2023	Plymouth MA	https://camp.cdss.org/camp-weeks/harmony-of-song-dance-at-pinewoods/	
7	Cumberland Dance Week	Gaye Fifer						Unnamed							7/2/2023	Pleasantville TN	https://camp.cumberlanddanceweek.org/	
7	Summergreen	Will Mentor	Derek Gallagher					Lighthouse	Drovers Grove						7/7/2023	Livingston MT	https://bozemanfolklore.org/summergreen/	
8	Sugar Hill Dance Weekend														8/25/2023	Bloomington IN	http://bloomingtoncontra.org/sugar-hill/	
8	Family Week at Agassiz Village	Luke Donforth													8/13/2023	Poland ME	https://camp.cdss.org/camp-weeks/family-week-at-agassiz-village-2/	
8	Cascade of Music & Dance at Louise	Rick Mohr													8/14/2023	Cascade MD	https://camp.cdss.org/camp-weeks/cascade-of-music-dance-at-louise/	
8	Campers’ Week at Pinewoods	Hannah Naiman													8/19/2023	Plymouth MA	https://camp.cdss.org/camp-weeks/campers-week-at-pinewoods/	
8	Falcon Ridge Folk Festival	Beth Molaro						The Gaslight Tinkers	The Faux Paws						7/28/2023	Goshen CT	http://falconridgefolk.com/	
8	Mentone	Gaye Fifer						Hot Coffee Breakdown	Reelplay						8/18/2023	Mentone AL	http://www.footmadbirmingham.org/mentone.html	
8	Balance the Bay	Lisa Greenleaf	Michael Karcher					Nova	Gaslight Tinkers						8/11/2023	San Francisco CA	https://www.bacds.org/camps/btb/	
8	Dance S’More	Lindsey Dono	Susan Michaels	Sue Hulsether				Countercurrent							8/6/2023	Harrison, ID	https://ladyofthelake.org/dancesmore	
9	Dancing Fish: September	Bob Isaacs	Gaye Fifer					Reelplay	Hot Coffee Breakdown						9/1/2023	Melrose FL	https://dancingfish.dance/	
9	Contravana	Katy Heine	Nils Fredland					Elixir	Ostara						9/8/2023	Rochester NY	https://cdrochester.org/events/contravana-weekend-with-elixir-and-ostara/	
9	Rendezvous Dance Weekend	Beth Molaro	Seth Tepfer					Stomp Rocket	Playing with Fyre						9/1/2023	Boulder CO	https://cfootmad.org/rendezvous	
9	Michigan Dance Heritage Fall Weekend	Will Mentor						The Turning Stile							9/23/2023	Lexington MI	https://michigandanceheritage.org/fall/	
9	Dance Camp North	Susan Michaels						The Engine Room							9/1/2023	Fairbanks AK	https://contraborealis.org/2023-dance-camp-north-talent/	
9	Moondance Dance Weekend	Steve Zakon-Anderson	Terry Doyle					The Dam Beavers	The Tune Drivers						10/6/2023	Pickens SC	https://moondancesc.weebly.com/	
9	Feet Retreat	Gaye Fifer	Charlotte Crittenden					Playing with Fyre	The Faux Paws						9/22/2023	Ellerbe NC	https://www.feetretreat.com/feet-retreat-dance-weekend-2023/	
9	Bear Hug Dance Camp	Cis Hinkle	Brenda Goodwin					Bandage a Trois	Toss the Possum						9/8/2023	Rollins MT	https://www.missoulafolk.org/bearhug	
9	Squirrel Moon Contra Dance weekend	Bev Bernbaum						Boys of the Noise							9/22/2023	Dodgeville WI	http://www.squirrelmoon.org/	
