	name	caller1	caller2	caller3	caller4	caller5	caller6	band1	band2	band3	band4	band5	band6	roles	start date	end date	location	url	complete
3	Spring @ Sautee																Sautee Nacoochee GA	https://sauteenacoocheecenter.org/event/spring-at-sautee-contra-dance-weekend-2/	FALSE
3	Hash Dance Weekend													Larks / Robins			Glen Echo MD	https://fsgw.org/hashtag-dance-weekend	FALSE
3	Palmetto Bug Stomp																Charleston SC	http://charlestonfolk.weebly.com/palmetto-bug-stomp.html	FALSE
4	Contra Camp													Larks / Robins			Halsway UK	https://www.halswaymanor.org.uk/event/contra-camp-2026	FALSE
4	Dancing Fish: Wild Asparagus																Melrose FL	https://dancingfish.dance/	FALSE
4	Epicenter dance weekend													Larks / Robins			Mill Valley CA	https://nbcds.org/epicenter-2026/	FALSE
4	SF Bay Queer Contra Dance Camp													Larks / Robins			Aptos CA	https://www.queercontradance.org/queercamp.html	FALSE
4	Call of the Loon Dance Weekend																Minneapolis MN	https://www.tapestryfolkdance.org/call-of-the-loon	FALSE
4	Springforth Ball													Larks / Robins			Richmond VA	https://tadamsva.org/springforth-ball-2026/	FALSE
4	NEFFA													Larks / Robins			Marlborough MA	https://www.neffa.org/	FALSE
	continued																		FALSE
	continued																		FALSE
	continued																		FALSE
4	Fiddlehead Frolic																Ithaca NY	https://www.hands4dancers.org/upcoming-dances/2026/4/25/fiddlehead-frolic	FALSE
4	Hands Four Spring Dance Weekend																Berea KY	https://www.hands4-berea.com/	FALSE
4	Contra Holiday in Medieval England	George Marshall	Lisa Greenleaf					Wild Asparagus	The Linda Game Band					Ladies/Gents	4/7/2027	4/14/2027	Ely, England	www.contraholiday.net	TRUE
4	Bonjour-Hey													Larks / Robins			Montreal QC	https://www.contramontreal.org/en/bonjour-hey	FALSE
4	Dandelion Romp													Larks / Robins			Oberlin OH	https://www.dandelionromp.com	FALSE
4	Trillium Twirl																Dowling MI	https://michigandanceheritage.org/trilliumtwirl/	FALSE
4	Portland Raindance Weekend																Portland OR	http://www.portlandraindance.org/	FALSE
4	When in Doubt Swing																Dallas TX	https://www.nttds.org/wids2025/home.html	FALSE
5	Spring Thaw Weekend																Toronto ON	https://tcdance.org/thaw2026.php	FALSE
5	Apple Blossom Bliss													Larks / Robins			Ann Arbor MI	https://aactmad.org/appleblossombliss	FALSE
5	May Heydays at Evesham																Evesham UK	http://mayheydays.org.uk/	FALSE
5	Dancing Fish: May																Melrose FL	https://dancingfish.dance/	FALSE
5	Whitewater Whirl													Larks / Robins			Fayetteville WV	https://www.footmad.org/whirl	FALSE
5	Cascade Contras Dance Camp													Larks / Robins			Springfield OR	https://eugenefolklore.org/cascade-contras-2025/	FALSE
5	Lake Eden Arts Festival - Spring																Black Mountain NC	https://theleaf.org/	FALSE
5	Meet Me in St Louis Dance Weekend																Webster Groves MO	https://childgrove.org/mmisl	FALSE
5	FolkMADness Music & Dance Camp																Soccoro NM	http://folkmads.org/events/camps/folkmadness/	FALSE
5	Dancing Bear Dance Camp																Wasilla AK	https://www.thedancingbears.org/dance-camp	FALSE
5	Spring Dance Romance													Larks / Robins			Carrboro NC	https://tcdancers.org/sdr	FALSE
5	Northwest Folklife																Seattle WA	https://nwfolklife.org/festival/home.html	FALSE
